,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
182,69007,0.29,1.00,0.45,13066,31334,0,3584,3584
183,69022,0.10,1.00,0.19,4918,41936,0,1348,1348
184,70011,0.28,1.00,0.44,3131,8097,0,781,781
185,70090,0.15,1.00,0.25,4779,28040,0,1554,1554
186,71076,0.34,1.00,0.51,12778,24919,0,3858,3858
187,71099,0.35,1.00,0.52,12830,23690,0,3965,3965
188,77062,0.22,1.00,0.36,11996,42169,0,3370,3370
189,78098,0.20,1.00,0.34,9400,36719,0,2935,2935
190,79073,0.24,1.00,0.38,12719,41006,0,3926,3926
191,80085,0.35,1.00,0.51,9828,18627,0,2793,2793
192,80090,0.25,1.00,0.40,6471,19258,0,1731,1731
193,8068,0.31,1.00,0.48,7722,16911,0,2243,2243
194,81066,0.32,1.00,0.48,10015,21401,0,2742,2742
195,81090,0.28,1.00,0.44,8903,22341,0,2830,2830
196,81095,0.44,1.00,0.61,13489,17286,0,4005,4005
197,87015,0.20,1.00,0.34,5741,22673,0,1663,1663
198,92014,0.44,1.00,0.61,15959,20068,0,4343,4343
199,94095,0.26,1.00,0.41,18808,53215,0,4565,4565
200,97010,0.20,1.00,0.33,7176,29333,0,1553,1553
