,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
121,259060,0.18,1.00,0.31,8078,36262,0,1194,2388
122,267036,0.37,1.00,0.54,13262,22600,2,1889,3778
123,268048,0.22,1.00,0.36,9887,35776,0,1326,2653
124,268074,0.14,1.00,0.25,6377,38729,0,833,1666
125,277053,0.34,1.00,0.50,11449,22475,2,2076,4152
126,279005,0.27,1.00,0.43,7115,19201,1,1011,2023
127,28083,0.30,1.00,0.47,10797,24816,1,1423,2847
128,281017,0.26,1.00,0.42,9623,26796,0,1338,2677
129,285022,0.20,1.00,0.33,5581,22336,0,689,1378
130,288024,0.23,1.00,0.37,8648,29454,3,1190,2381
131,289011,0.28,1.00,0.43,14508,38160,12,2153,4306
132,290035,0.36,1.00,0.53,11320,19813,0,1841,3682
133,29030,0.21,1.00,0.34,5982,22819,0,896,1793
134,296028,0.33,1.00,0.50,7547,15171,2,1210,2421
135,296058,0.14,1.00,0.25,7726,47117,0,1020,2040
136,302022,0.25,1.00,0.40,7697,23325,3,823,1646
137,306051,0.38,1.00,0.55,8911,14768,0,1083,2167
138,306052,0.15,1.00,0.27,5737,31306,0,656,1313
139,3063,0.24,1.00,0.39,2745,8538,0,496,992
140,309040,0.43,1.00,0.60,18412,24669,5,3012,6024
141,317043,0.16,1.00,0.28,6855,35721,1,988,1976
142,326025,0.23,1.00,0.37,9208,30890,0,1254,2509
143,326085,0.23,1.00,0.38,6765,22438,1,973,1947
144,33044,0.15,1.00,0.26,6182,34563,0,900,1801
145,334025,0.19,1.00,0.31,5366,23540,0,790,1580
146,335088,0.29,1.00,0.45,11541,27690,10,2039,4078
147,335094,0.22,1.00,0.36,5316,19313,2,1017,2035
148,344010,0.24,1.00,0.38,5760,18603,0,818,1636
149,346016,0.14,1.00,0.24,5031,32079,1,800,1601
150,347031,0.34,1.00,0.50,13027,25590,3,1545,3090
151,35028,0.22,1.00,0.37,10474,36216,1,1357,2714
152,35049,0.24,1.00,0.39,9097,28906,0,981,1963
153,36046,0.31,1.00,0.47,7304,16181,0,1101,2203
154,365072,0.23,1.00,0.38,10202,33611,0,1605,3210
155,368037,0.30,1.00,0.47,8387,19153,0,1142,2284
156,372019,0.25,1.00,0.40,5092,15235,0,749,1498
157,376086,0.17,1.00,0.29,5558,27361,0,841,1683
158,384022,0.22,1.00,0.36,5294,18686,6,1030,2060
159,384089,0.37,1.00,0.54,9917,16779,0,1469,2938
160,385022,0.31,1.00,0.48,8808,19378,10,1738,3477
161,388006,0.14,1.00,0.24,3965,24790,1,503,1006
162,388018,0.68,1.00,0.81,28629,13400,8,4530,9061
163,388067,0.46,1.00,0.63,17855,21309,0,2745,5491
164,393035,0.41,1.00,0.59,14456,20453,1,2296,4593
165,41006,0.23,1.00,0.37,6510,21755,0,817,1634
166,41029,0.31,1.00,0.47,9157,20704,1,1263,2526
167,41085,0.31,1.00,0.48,15409,33951,6,2276,4553
168,41096,0.13,1.00,0.24,3493,22469,1,591,1183
169,43033,0.24,1.00,0.38,13251,43052,3,1768,3537
170,43051,0.11,1.00,0.20,2866,23512,1,444,888
171,45000,0.32,1.00,0.48,15551,33147,6,2334,4668
172,48017,0.12,1.00,0.21,3234,24588,1,464,929
173,48025,0.32,1.00,0.49,9273,19617,0,1606,3213
174,49024,0.29,1.00,0.45,7473,18613,0,940,1881
175,5096,0.27,1.00,0.43,12072,32484,5,2127,4255
176,51084,0.38,1.00,0.55,12202,19686,3,1772,3544
177,6046,0.20,1.00,0.33,11847,47925,3,1559,3118
178,61034,0.33,1.00,0.49,8677,17821,0,1232,2465
