,id,precision,recall,f1,tp,fp,fn
55,16004,0.28279857916496826,0.8145073375262054,0.4198309956560265,9713,24633,2212
56,160067,0.13199049787191924,0.7179004037685061,0.2229839889636721,2667,17539,1048
57,16068,0.168517490283176,0.774564015312633,0.2768108231359732,3642,17970,1060
58,161045,0.1517138670702121,0.8756412033827811,0.258619277700434,6316,35315,897
59,163004,0.0,0.0,0.0,0,51295,0
60,163096,0.0,0.0,0.0,0,55360,0
61,164046,0.0,0.0,0.0,0,15840,0
62,168084,0.14210618538636763,0.36482231219073324,0.20453972257250946,811,4896,1412
63,17067,0.0,0.0,0.0,0,18650,0
64,175083,0.3081870369929254,0.8686719484356117,0.45496263736263737,12938,29043,1956
65,176051,0.08857368006304177,0.3437308868501529,0.14085213032581453,562,5783,1073
66,179084,0.2584286026359863,0.5655776892430279,0.3547580967612955,3549,10184,2726
67,181021,0.0,0.0,0.0,0,11113,0
68,183066,0.167375793676769,0.6546338965693804,0.2665902100818433,2557,12720,1349
69,185092,0.19745897300158813,0.8948818197974053,0.32352988418972967,10071,40932,1183
70,187058,0.15348711425394887,0.9888365490094857,0.26572796004716653,15324,84515,173
71,187099,0.27723016460217825,0.9985672120812678,0.43397636275327844,34847,90850,50
72,188025,0.3324939124643593,0.8890372843628269,0.48398188400309,15976,32073,1994
73,189006,0.0,0.0,0.0,0,26379,0
74,189013,0.0,0.0,0.0,0,22266,0
75,189029,0.0,0.0,0.0,0,90888,0
76,189096,0.203739109765298,0.9711808463471107,0.33681872543994534,19714,77047,585
77,196027,0.0,0.0,0.0,0,17360,0
78,196040,0.0,0.0,0.0,0,27706,0
79,196062,0.20079231796064248,0.8013404365011171,0.3211211349080642,4663,18560,1156
80,196088,0.20286171177621842,0.9922367499416297,0.3368539949270767,16999,66797,133
81,198087,0.0,0.0,0.0,0,21234,0
82,20069,0.0,0.0,0.0,0,9990,0
83,201080,0.12970422373115434,0.8071620411817368,0.22349470761756032,4508,30248,1077
84,2018,0.0,0.0,0.0,0,31811,0
85,202000,0.18216450216450217,0.7770719456345103,0.29514083716754574,5260,23615,1509
86,206062,0.3123958972560708,0.6825974523513073,0.4286272740941211,7127,15687,3314
87,206097,0.27538137822198844,0.8150397010742644,0.41166987771792557,5235,13775,1188
88,207038,0.23717421124828533,0.6780392156862745,0.3514227642276423,3458,11122,1642
89,207049,0.2179871682927755,0.8734408275022817,0.3488986784140969,5742,20599,832
90,208078,0.16371658537426104,0.8965549787635677,0.27687419843768224,9499,48522,1096
91,209021,0.06953195319531953,0.45743893412287195,0.1207149135657779,618,8270,733
92,217013,0.0,0.0,0.0,0,43978,0
93,217090,0.17523177291976652,0.6479052052475667,0.27585585585585587,3062,14412,1664
94,220003,0.3093633347158855,0.6992031872509961,0.42894112572784127,5967,13321,2567
95,223004,0.0,0.0,0.0,0,9356,0
96,223060,0.17382291975125852,0.7258114374034003,0.2804754225646539,2348,11160,887
97,225022,0.0,0.0,0.0,0,13532,0
98,226022,0.11380460424631904,0.3775978407557355,0.17489686210776345,1399,10894,2306
99,226033,0.2998186977770771,0.7871481788079471,0.43423906838680215,7607,17765,2057
100,226043,0.0,0.0,0.0,0,74131,0
101,226060,0.0,0.0,0.0,0,6300,0
102,228076,0.12439441037273516,0.8129575402635432,0.21577247225123258,4442,31267,1022
103,230063,0.0,0.0,0.0,0,19619,0
104,230098,0.0,0.0,0.0,0,9617,0
105,23050,0.0,0.0,0.0,0,60245,0
106,232076,0.1437196962766444,0.9543190377839874,0.24981712940877143,7855,46800,376
107,235098,0.3129432624113475,0.4715311404241109,0.3762072870179178,2824,6200,3165
108,238025,0.0,0.0,0.0,0,10013,0
109,243095,0.0,0.0,0.0,0,14816,0
110,246009,0.0,0.0,0.0,0,13429,0
111,247003,0.1629614521721395,0.40292486132123045,0.23206505954109788,799,4104,1184
112,247012,0.2465225175595648,0.6799620132953467,0.3618537423560924,3580,10942,1685
113,249021,0.0,0.0,0.0,0,7786,0
114,250047,0.0,0.0,0.0,0,111767,0
115,250087,0.0,0.0,0.0,0,2283,0
116,253016,0.375954738330976,0.40401276789785684,0.3894790827166826,2658,4412,3921
117,253092,0.0,0.0,0.0,0,15041,0
118,257098,0.0,0.0,0.0,0,1056,0
119,258089,0.45439119703825587,0.8825526815140318,0.5999117477342928,17674,21222,2352
120,259060,0.0,0.0,0.0,0,77544,0
121,267036,0.0,0.0,0.0,0,31631,0
122,268048,0.20038259206121473,0.8998530575336272,0.3277750329380764,7961,31768,886
123,268074,0.0,0.0,0.0,0,15160,0
124,277053,0.207219357397858,0.49180945208058746,0.2915829426211208,2612,9993,2699
125,279005,0.0,0.0,0.0,0,11548,0
126,28083,0.2509760178471835,0.14677103718199608,0.18522329697468612,450,1343,2616
127,281017,0.0,0.0,0.0,0,10624,0
128,285022,0.19039214427828766,0.8947368421052632,0.3139734871537057,5933,25229,698
129,288024,0.1608357628765792,0.8169279907084785,0.2687586569231504,5627,29359,1261
130,289011,0.0,0.0,0.0,0,5163,0
131,290035,0.20601803313063535,0.6046153846153847,0.30731936190178294,3930,15146,2570
132,29030,0.15968149525580508,0.9604932960493296,0.27383763121045795,13396,70496,551
133,296028,0.2275997383911053,0.3485809682804674,0.2753890793985756,1044,3543,1951
134,296058,0.1533121075439993,0.9432730240783567,0.2637554917362445,6934,38294,417
135,302022,0.0,0.0,0.0,0,93074,0
136,306051,0.0,0.0,0.0,0,10052,0
137,306052,0.11245067952652346,0.3107207752877044,0.16513761467889906,513,4049,1138
138,3063,0.12489158716392021,0.23703703703703705,0.16358988923601248,288,2018,927
139,309040,0.44495412844036697,0.6065416065416065,0.5133319763891715,6305,7865,4090
140,317043,0.08719184743540953,0.6192192192192192,0.1528596315652915,2062,21587,1268
141,326025,0.1447294863034971,0.7618113454307667,0.24324677019444083,4660,27538,1457
142,326085,0.0,0.0,0.0,0,60360,0
143,33044,0.0,0.0,0.0,0,17758,0
144,334025,0.0,0.0,0.0,0,14512,0
145,335088,0.3008474576271186,0.4810984308131241,0.3701975850713501,2698,6270,2910
146,335094,0.15925649704549366,0.7219765929778934,0.2609513066365858,2776,14655,1069
147,344010,0.13904048737149385,0.6795905707196029,0.23085027921188495,2191,13567,1033
148,346016,0.1354219876269936,0.792427764862172,0.2313136209403781,2386,15233,625
149,347031,0.0,0.0,0.0,0,1056,0
150,35028,0.19316909294512877,0.2169129204652625,0.20435362061306084,690,2882,2491
151,35049,0.1683896539043027,0.7586524300441826,0.2756060859388062,4121,20352,1311
152,36046,0.1610728123584763,0.707090788601723,0.26237704918032784,3201,16672,1326
153,365072,0.0,0.0,0.0,0,55386,0
154,368037,0.17759965801004596,0.8846890971039182,0.2958150132616551,8309,38476,1083
155,372019,0.0,0.0,0.0,0,16038,0
156,376086,0.11984229058171161,0.983986843244179,0.213662121397224,11368,83490,185
157,384022,0.15136797798283957,0.35782625334864143,0.21274175199089876,935,5242,1678
158,384089,0.0,0.0,0.0,0,41400,0
159,385022,0.2574563272262463,0.8390418884517473,0.39401184589469107,7251,20913,1391
160,388006,0.0,0.0,0.0,0,127021,0
161,388018,0.0,0.0,0.0,0,38448,0
162,388067,0.0,0.0,0.0,0,39298,0
163,393035,0.26551624129930396,0.33584005869405725,0.2965662455458374,1831,5065,3621
164,41006,0.1467674844895657,0.9467879476975555,0.2541392623338572,8327,48409,468
165,41029,0.18184460375896144,0.5052489905787348,0.26743606183657476,1877,8445,1838
166,41085,0.2661265710401465,0.8215845824411135,0.40202858460119867,9592,26451,2083
167,41096,0.10956271799509107,0.9392303433001108,0.19623438223044884,6785,55143,439
168,43033,0.26958912037037036,0.9808400884303611,0.42293288544905694,18634,50486,364
169,43051,0.06760299625468165,0.7037037037037037,0.12335554416538527,1444,19916,608
170,45000,0.30986933361308294,0.9838273935087525,0.47129737971137825,26584,59207,437
171,48017,0.07500785521271916,0.9823868312757201,0.13937412424100884,5968,73597,107
172,48025,0.19677003864064202,0.42608882214117144,0.26921512810085396,1986,8107,2675
173,49024,0.1696869851729819,0.36932270916334664,0.23253480496676288,927,4536,1583
174,5096,0.2922885572139303,0.7831030089189454,0.4256906150936359,7990,19346,2213
175,51084,0.2894498046260116,0.8985857192135219,0.43785805331054867,15630,38369,1764
176,6046,0.0,0.0,0.0,0,33999,0
177,61034,0.0,0.0,0.0,0,101927,0
178,64061,0.0,0.0,0.0,0,2878,0
179,65084,0.0,0.0,0.0,0,60816,0
180,69000,0.16277243806687425,0.8294701986754967,0.27214086865989184,6012,30923,1236
181,69007,0.22877887788778878,0.8145328069185938,0.3572238369096943,8665,29210,1973
182,69022,0.12101555882484062,0.9093802345058627,0.21360560276990873,5429,39433,541
183,70011,0.07599309153713299,0.8569157392686805,0.13960565933888044,2156,26215,360
184,70090,0.0,0.0,0.0,0,67337,0
185,71076,0.0,0.0,0.0,0,40897,0
