,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
0,average,0.26,1.00,0.40,8524.77,24989.195,44.735,276.34,2775.695
1,100007,0.29,1.00,0.45,4828,11919,3,175,1626
2,100039,0.15,0.99,0.26,5428,30324,52,223,2177
3,100099,0.31,1.00,0.47,7437,16629,7,170,1938
4,10081,0.26,1.00,0.41,7734,21946,19,290,2680
5,101027,0.22,0.99,0.37,6060,20967,41,216,2115
6,101084,0.28,0.99,0.44,4248,10841,54,201,2153
7,102062,0.28,1.00,0.44,11800,30564,50,366,3677
8,103006,0.12,0.98,0.22,2911,20457,51,142,1320
9,103029,0.21,0.99,0.34,9339,35923,93,223,2604
10,103078,0.35,1.00,0.52,12007,22244,10,296,3274
11,104010,0.19,0.99,0.32,9736,42248,64,339,3185
12,104055,0.24,1.00,0.39,8239,25825,11,252,2297
13,105027,0.24,1.00,0.39,5011,15640,19,180,1747
14,106005,0.33,1.00,0.50,5911,11829,3,165,1694
15,106047,0.14,1.00,0.24,5314,33784,17,158,1676
16,107014,0.24,1.00,0.39,8647,26695,31,259,2602
17,107045,0.19,1.00,0.32,8424,35608,2,271,2541
18,107072,0.31,1.00,0.48,7939,17349,36,270,2854
19,108004,0.09,1.00,0.17,3482,34735,2,121,1091
20,108036,0.15,0.99,0.26,6445,37360,75,275,2772
21,108069,0.05,0.99,0.10,1912,33485,29,79,798
22,109055,0.10,0.99,0.18,3436,31400,36,142,1135
23,112056,0.38,1.00,0.55,5719,9261,0,159,1626
24,112090,0.43,1.00,0.60,22098,29384,23,670,6824
25,117025,0.26,0.99,0.41,6668,18992,43,227,2512
26,118015,0.26,1.00,0.42,10692,29954,14,318,3222
27,118031,0.15,0.98,0.26,4343,24433,87,191,1776
28,118072,0.22,0.99,0.37,8363,28927,63,250,2604
29,120003,0.54,0.99,0.70,14541,12336,184,584,5307
30,120093,0.31,1.00,0.48,8286,18050,8,303,2884
31,123057,0.18,0.98,0.30,8814,40576,199,256,2753
32,128035,0.41,1.00,0.58,12463,17744,16,475,4453
33,130014,0.21,1.00,0.34,6230,23763,8,192,2135
34,130066,0.20,0.99,0.33,7732,31841,46,237,2269
35,134049,0.32,1.00,0.48,10167,21664,51,462,4196
36,134067,0.22,0.99,0.37,8621,29814,44,331,3430
37,140006,0.19,1.00,0.31,5278,23088,19,227,2160
38,140088,0.43,0.99,0.60,10629,14065,151,435,4138
39,14085,0.15,0.99,0.26,6460,35886,42,135,1408
40,14092,0.26,0.99,0.42,10593,29415,94,273,2740
41,141012,0.08,1.00,0.15,3841,41979,4,102,1015
42,141048,0.09,1.00,0.17,3965,39346,4,113,1020
43,145059,0.29,0.99,0.45,10541,25871,59,302,3245
44,145079,0.37,1.00,0.54,16107,27396,31,496,4895
45,146074,0.35,1.00,0.52,11505,20933,22,387,3661
46,147077,0.17,0.97,0.28,5237,26455,187,222,2234
47,147080,0.31,1.00,0.47,9912,22076,45,343,3404
48,15011,0.38,1.00,0.55,15573,24968,24,496,4687
49,15062,0.20,0.99,0.33,6547,26328,93,227,2246
50,156054,0.41,0.99,0.58,6894,10052,102,232,2313
51,157032,0.20,1.00,0.34,6987,27096,34,190,2069
52,157087,0.29,0.99,0.45,7937,19410,40,333,3220
53,159002,0.15,1.00,0.26,5411,30792,24,163,1722
54,159022,0.17,1.00,0.29,6895,33982,11,175,1681
55,160006,0.21,0.99,0.35,9928,36725,61,247,2702
56,16004,0.31,0.99,0.47,13878,31142,79,428,4150
57,160067,0.22,1.00,0.36,5671,20097,0,152,1601
58,16068,0.14,0.99,0.25,6055,36038,79,167,1842
59,161045,0.16,1.00,0.27,7387,39635,12,192,1805
60,163004,0.49,0.99,0.65,21535,22580,172,640,6281
61,163096,0.10,1.00,0.18,4863,45339,7,182,1686
62,164046,0.10,1.00,0.18,2737,24595,6,102,999
63,168084,0.18,0.99,0.31,5095,23089,70,173,1617
64,17067,0.26,1.00,0.41,8289,23742,25,284,3113
65,175083,0.26,1.00,0.42,15490,43377,51,438,4039
66,176051,0.23,1.00,0.38,3913,12874,0,129,1282
67,179084,0.49,1.00,0.65,12496,13261,18,372,3729
68,181021,0.22,0.99,0.37,3899,13453,26,114,1417
69,183066,0.15,0.99,0.25,4792,28003,31,170,1855
70,185092,0.32,1.00,0.49,7786,16279,19,231,2418
71,187058,0.13,0.99,0.23,5926,39432,55,217,2144
72,187099,0.21,1.00,0.35,9650,35428,40,397,3970
73,188025,0.39,0.99,0.56,12197,19349,84,448,4430
