,id,best_precision,mean_precision,best_recall,mean_recall,best_f1,mean_f1,annotator_0_precision,annotator_0_recall,annotator_0_f1,annotator_0_tp,annotator_0_fp,annotator_0_fn,annotator_1_precision,annotator_1_recall,annotator_1_f1,annotator_1_tp,annotator_1_fp,annotator_1_fn,annotator_2_precision,annotator_2_recall,annotator_2_f1,annotator_2_tp,annotator_2_fp,annotator_2_fn,annotator_3_precision,annotator_3_recall,annotator_3_f1,annotator_3_tp,annotator_3_fp,annotator_3_fn,annotator_4_precision,annotator_4_recall,annotator_4_f1,annotator_4_tp,annotator_4_fp,annotator_4_fn,annotator_5_precision,annotator_5_recall,annotator_5_f1,annotator_5_tp,annotator_5_fp,annotator_5_fn,annotator_6_precision,annotator_6_recall,annotator_6_f1,annotator_6_tp,annotator_6_fp,annotator_6_fn,annotator_7_precision,annotator_7_recall,annotator_7_f1,annotator_7_tp,annotator_7_fp,annotator_7_fn
126,185092,0.29493087557603687,0.21582181259600616,0.023871689668034317,0.019018346046477508,0.04416839199447895,0.034927300743620514,0.17972350230414746,0.016182572614107885,0.029691663494480398,39,178,2371,0.2073732718894009,0.017765495459928938,0.03272727272727272,45,172,2488,0.11981566820276497,0.011812812358019082,0.02150537634408602,26,191,2175,0.19815668202764977,0.020965382740126767,0.03791887125220458,43,174,2008,0.29493087557603687,0.023871689668034317,0.04416839199447895,64.0,153.0,2617,0.29493087557603687,0.02351212343864805,0.04355222864920041,64.0,153.0,2658,,,,,,,,,,,,
127,100099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1938,0.0,0.0,0.0,0,0,2222,0.0,0.0,0.0,0,0,1510,0.0,0.0,0.0,0,0,1991,0.0,0.0,0.0,0.0,0.0,2014,,,,,,,,,,,,,,,,,,
128,326025,0.5429726996966633,0.3979777553083923,0.3823038397328882,0.3346502948542589,0.40883136657784547,0.3594054253441723,0.4241658240647118,0.337897704389851,0.376148845550325,839,1139,1644,0.2770475227502528,0.2839378238341969,0.2804503582395087,548,1430,1382,0.5429726996966633,0.32783882783882784,0.40883136657784547,1074,904,2202,0.39838220424671383,0.3412732784755305,0.36762304641940746,788,1190,1521,0.3473205257836198,0.3823038397328882,0.36397350993377486,687.0,1291.0,1110,,,,,,,,,,,,,,,,,,
129,141012,0.0846262341325811,0.05246826516220028,0.03548196333530455,0.029609510280261635,0.049999999999999996,0.0374528975082179,0.04231311706629055,0.02967359050445104,0.03488372093023256,30,679,981,0.03526093088857546,0.019952114924181964,0.025484199796126403,25,684,1228,0.0380818053596615,0.028511087645195353,0.03260869565217391,27,682,920,0.06205923836389281,0.03442879499217527,0.044287871162556613,44,665,1234,0.0846262341325811,0.03548196333530455,0.049999999999999996,60.0,649.0,1631,,,,,,,,,,,,,,,,,,
130,238025,0.7022653721682848,0.484789644012945,0.23916238060249817,0.20886980937733943,0.35681008495478217,0.2898652548683249,0.43797195253505933,0.21492853361566966,0.28835227272727265,406,521,1483,0.7022653721682848,0.23916238060249817,0.35681008495478217,651,276,2071,0.43581445523193096,0.21409644939056705,0.287135749822317,404,523,1483,0.41963322545846815,0.22228571428571428,0.2906238326484871,389,538,1361,0.42826321467098166,0.15387596899224806,0.22640433418876532,397.0,530.0,2183,,,,,,,,,,,,,,,,,,
131,92014,0.862876254180602,0.5716833890746934,0.44508338125359403,0.276604299847755,0.5872534142640364,0.37072371787251107,0.5897435897435898,0.24725403131572798,0.34842746583237283,1058,736,3221,0.3433667781493868,0.23071161048689137,0.27598566308243727,616,1178,2054,0.7976588628762542,0.34893928310168254,0.4854961832061069,1431,363,2670,0.862876254180602,0.44508338125359403,0.5872534142640364,1548,246,1930,0.26477146042363436,0.11103319308087892,0.1564558629776021,475.0,1319.0,3803,,,,,,,,,,,,,,,,,,
132,120003,0.8025305015815635,0.6587588492242807,0.4727061556329849,0.3575011576667217,0.5755700901537917,0.4551560717835743,0.7026660641662901,0.29590865842055186,0.41644349223352967,1555,658,3700,0.7076366922729327,0.29408450704225353,0.41549482621384987,1566,647,3759,0.4762765476728423,0.42932790224032585,0.45158526135389887,1054,1159,1401,0.8025305015815635,0.34673955486138225,0.4842535787321064,1776,437,3346,0.5277903298689561,0.3062401678028317,0.3875891820142692,1168.0,1045.0,2646,0.7356529597830999,0.4727061556329849,0.5755700901537917,1628.0,585.0,1816,,,,,,,,,,,,
133,206097,0.8031837916063675,0.5718765074770864,0.21175166297117518,0.16378851632352112,0.3062124248496994,0.2508848172405909,0.6570188133140377,0.19131900547829753,0.2963446475195823,454,237,1919,0.1649782923299566,0.09328968903436989,0.11918452692106639,114,577,1108,0.5861070911722142,0.16129032258064516,0.25296689569019365,405,286,2106,0.8031837916063675,0.15280837004405287,0.25676613462873005,555,136,3077,0.6671490593342981,0.17227204783258596,0.27383427383427383,461.0,230.0,2215,0.552821997105644,0.21175166297117518,0.3062124248496994,382.0,309.0,1422,,,,,,,,,,,,
134,334025,0.6863813229571984,0.4714656290531778,0.3902654867256637,0.2846193461460736,0.49760225669957686,0.3465282532279239,0.32062256809338524,0.2584692597239649,0.28621048975338664,412,873,1182,0.20233463035019456,0.19005847953216373,0.19600452318130415,260,1025,1108,0.551750972762646,0.379144385026738,0.44944532488114103,709,576,1161,0.5486381322957199,0.3452497551420176,0.4238052299368801,705,580,1337,0.5190661478599222,0.14452871072589382,0.22610169491525425,667.0,618.0,3948,0.6863813229571984,0.3902654867256637,0.49760225669957686,882.0,403.0,1378,,,,,,,,,,,,
135,168084,0.9571428571428572,0.7000000000000001,0.06376518218623482,0.04671364582626447,0.11909262759924387,0.0875120272180659,0.0,0.0,0.0,0,140,1617,0.5857142857142857,0.049160671462829736,0.09070796460176991,82,58,1586,0.8285714285714286,0.05039096437880104,0.095004095004095,116,24,2186,0.9571428571428572,0.05918727915194346,0.11148086522462561,134,6,2130,0.9285714285714286,0.057777777777777775,0.10878661087866108,130.0,10.0,2120,0.9,0.06376518218623482,0.11909262759924387,126.0,14.0,1850,,,,,,,,,,,,
